,Currency,Exchange,day,month,year
0,USD,1.0,1,1,2015
1,CAD,1.1583,1,1,2015
2,AUD,1.2214,1,1,2015
3,EUR,0.8237,1,1,2015
4,GBP,0.6415,1,1,2015
5,USD,1.0,2,1,2015
6,CAD,1.1682,2,1,2015
7,AUD,1.2323,2,1,2015
8,EUR,0.8304,2,1,2015
9,GBP,0.6477,2,1,2015
10,USD,1.0,3,1,2015
11,CAD,1.1682,3,1,2015
12,AUD,1.2323,3,1,2015
13,EUR,0.8304,3,1,2015
14,GBP,0.6477,3,1,2015
15,USD,1.0,4,1,2015
16,CAD,1.1682,4,1,2015
17,AUD,1.2323,4,1,2015
18,EUR,0.8304,4,1,2015
19,GBP,0.6477,4,1,2015
20,USD,1.0,5,1,2015
21,CAD,1.1784,5,1,2015
22,AUD,1.2384,5,1,2015
23,EUR,0.8393,5,1,2015
24,GBP,0.6569,5,1,2015
25,USD,1.0,6,1,2015
26,CAD,1.1763,6,1,2015
27,AUD,1.2288,6,1,2015
28,EUR,0.8393,6,1,2015
29,GBP,0.6582,6,1,2015
30,USD,1.0,7,1,2015
31,CAD,1.183,7,1,2015
32,AUD,1.2391,7,1,2015
33,EUR,0.8452,7,1,2015
34,GBP,0.6612,7,1,2015
35,USD,1.0,8,1,2015
36,CAD,1.1816,8,1,2015
37,AUD,1.2337,8,1,2015
38,EUR,0.8498,8,1,2015
39,GBP,0.6637,8,1,2015
40,USD,1.0,9,1,2015
41,CAD,1.182,9,1,2015
42,AUD,1.228,9,1,2015
43,EUR,0.8465,9,1,2015
44,GBP,0.6602,9,1,2015
45,USD,1.0,10,1,2015
46,CAD,1.182,10,1,2015
47,AUD,1.228,10,1,2015
48,EUR,0.8465,10,1,2015
49,GBP,0.6602,10,1,2015
50,USD,1.0,11,1,2015
51,CAD,1.182,11,1,2015
52,AUD,1.228,11,1,2015
53,EUR,0.8465,11,1,2015
54,GBP,0.6602,11,1,2015
55,USD,1.0,12,1,2015
56,CAD,1.1897,12,1,2015
57,AUD,1.2282,12,1,2015
58,EUR,0.8472,12,1,2015
59,GBP,0.66,12,1,2015
60,USD,1.0,13,1,2015
61,CAD,1.1966,13,1,2015
62,AUD,1.2257,13,1,2015
63,EUR,0.8488,13,1,2015
64,GBP,0.6592,13,1,2015
65,USD,1.0,14,1,2015
66,CAD,1.1965,14,1,2015
67,AUD,1.2291,14,1,2015
68,EUR,0.8493,14,1,2015
69,GBP,0.6584,14,1,2015
70,USD,1.0,15,1,2015
71,CAD,1.1834,15,1,2015
72,AUD,1.208,15,1,2015
73,EUR,0.8541,15,1,2015
74,GBP,0.6553,15,1,2015
75,USD,1.0,16,1,2015
76,CAD,1.2035,16,1,2015
77,AUD,1.2179,16,1,2015
78,EUR,0.863,16,1,2015
79,GBP,0.659,16,1,2015
80,USD,1.0,17,1,2015
81,CAD,1.2035,17,1,2015
82,AUD,1.2179,17,1,2015
83,EUR,0.863,17,1,2015
84,GBP,0.659,17,1,2015
85,USD,1.0,18,1,2015
86,CAD,1.2035,18,1,2015
87,AUD,1.2179,18,1,2015
88,EUR,0.863,18,1,2015
89,GBP,0.659,18,1,2015
90,USD,1.0,19,1,2015
91,CAD,1.1983,19,1,2015
92,AUD,1.2179,19,1,2015
93,EUR,0.8617,19,1,2015
94,GBP,0.6604,19,1,2015
95,USD,1.0,20,1,2015
96,CAD,1.2013,20,1,2015
97,AUD,1.2197,20,1,2015
98,EUR,0.8636,20,1,2015
99,GBP,0.6596,20,1,2015
100,USD,1.0,21,1,2015
101,CAD,1.2075,21,1,2015
102,AUD,1.2174,21,1,2015
103,EUR,0.8626,21,1,2015
104,GBP,0.6617,21,1,2015
105,USD,1.0,22,1,2015
106,CAD,1.2354,22,1,2015
107,AUD,1.2308,22,1,2015
108,EUR,0.8607,22,1,2015
109,GBP,0.6579,22,1,2015
110,USD,1.0,23,1,2015
111,CAD,1.2446,23,1,2015
112,AUD,1.2653,23,1,2015
113,EUR,0.893,23,1,2015
114,GBP,0.6674,23,1,2015
115,USD,1.0,24,1,2015
116,CAD,1.2446,24,1,2015
117,AUD,1.2653,24,1,2015
118,EUR,0.893,24,1,2015
119,GBP,0.6674,24,1,2015
120,USD,1.0,25,1,2015
121,CAD,1.2446,25,1,2015
122,AUD,1.2653,25,1,2015
123,EUR,0.893,25,1,2015
124,GBP,0.6674,25,1,2015
125,USD,1.0,26,1,2015
126,CAD,1.2459,26,1,2015
127,AUD,1.2653,26,1,2015
128,EUR,0.8894,26,1,2015
129,GBP,0.6661,26,1,2015
130,USD,1.0,27,1,2015
131,CAD,1.2458,27,1,2015
132,AUD,1.2589,27,1,2015
133,EUR,0.8845,27,1,2015
134,GBP,0.6609,27,1,2015
