,Order Number,Line Item,CustomerKey,StoreKey,ProductKey,Quantity,Currency,Order day,Order month,Order year
0,0,366000,1,265598,10,1304,1,CAD,1,1,2016
1,1,366001,1,1269051,0,1048,2,USD,1,1,2016
2,2,366001,2,1269051,0,2007,1,USD,1,1,2016
3,3,366002,1,266019,0,1106,7,CAD,1,1,2016
4,4,366002,2,266019,0,373,1,CAD,1,1,2016
5,5,366002,3,266019,0,1080,4,CAD,1,1,2016
6,6,366004,1,1107461,38,163,6,GBP,1,1,2016
7,7,366004,2,1107461,38,1529,2,GBP,1,1,2016
8,8,366005,1,844003,33,421,4,EUR,1,1,2016
9,9,366007,1,2035771,43,1617,1,USD,1,1,2016
10,10,366007,2,2035771,43,666,5,USD,1,1,2016
11,11,366008,1,759705,29,1154,9,EUR,1,1,2016
12,12,366008,2,759705,29,2510,1,EUR,1,1,2016
13,13,366008,3,759705,29,1060,5,EUR,1,1,2016
14,14,366009,1,254540,9,1648,1,CAD,1,1,2016
15,15,366010,1,370077,0,618,5,CAD,1,1,2016
16,16,366011,1,1984985,66,128,7,USD,1,1,2016
17,17,366011,2,1984985,66,1638,1,USD,1,1,2016
18,18,366011,3,1984985,66,1634,1,USD,1,1,2016
19,19,366011,4,1984985,66,2392,3,USD,1,1,2016
20,20,366012,1,1977527,65,1807,1,USD,1,1,2016
21,21,366012,2,1977527,65,1594,4,USD,1,1,2016
22,22,366012,3,1977527,65,1297,1,USD,1,1,2016
23,23,366013,1,1187306,41,1654,5,GBP,1,1,2016
24,24,366014,1,738549,0,123,1,EUR,1,1,2016
25,25,366014,2,738549,0,1700,2,EUR,1,1,2016
26,26,366016,1,1982762,63,1253,7,USD,1,1,2016
27,27,367000,1,1438050,56,1176,1,USD,2,1,2016
28,28,367003,1,980164,40,153,2,GBP,2,1,2016
29,29,367004,1,1853699,56,136,1,USD,2,1,2016
30,30,367004,2,1853699,56,1637,4,USD,2,1,2016
31,31,367005,1,758280,0,1691,1,EUR,2,1,2016
32,32,367005,2,758280,0,319,2,EUR,2,1,2016
33,33,367005,3,758280,0,1674,8,EUR,2,1,2016
34,34,367005,4,758280,0,2511,9,EUR,2,1,2016
35,35,367005,5,758280,0,1720,2,EUR,2,1,2016
36,36,367005,6,758280,0,1597,7,EUR,2,1,2016
37,37,367005,7,758280,0,784,1,EUR,2,1,2016
38,38,367006,1,693285,18,2445,3,EUR,2,1,2016
39,39,367007,1,1730985,57,65,7,USD,2,1,2016
40,40,367007,2,1730985,57,1432,9,USD,2,1,2016
41,41,367008,1,763246,28,1951,3,EUR,2,1,2016
42,42,367009,1,1512558,57,934,1,USD,2,1,2016
43,43,367009,2,1512558,57,930,8,USD,2,1,2016
44,44,367009,3,1512558,57,1436,5,USD,2,1,2016
45,45,367009,4,1512558,57,1547,3,USD,2,1,2016
46,46,367009,5,1512558,57,53,5,USD,2,1,2016
47,47,367010,1,1322959,66,917,1,USD,2,1,2016
48,48,367010,2,1322959,66,39,1,USD,2,1,2016
49,49,367011,1,507981,22,39,1,EUR,2,1,2016
50,50,367012,1,209990,9,1653,5,CAD,2,1,2016
51,51,367012,2,209990,9,145,3,CAD,2,1,2016
52,52,367013,1,815458,31,1733,2,EUR,2,1,2016
53,53,367013,2,815458,31,41,6,EUR,2,1,2016
54,54,367014,1,1839627,56,1184,3,USD,2,1,2016
55,55,367015,1,911025,42,2296,7,GBP,2,1,2016
56,56,367016,1,1633409,63,1487,1,USD,2,1,2016
57,57,367016,2,1633409,63,558,7,USD,2,1,2016
58,58,367016,3,1633409,63,206,3,USD,2,1,2016
59,59,367017,1,1612400,47,1203,4,USD,2,1,2016
60,60,367018,1,1301565,59,1245,2,USD,2,1,2016
61,61,367018,2,1301565,59,1973,4,USD,2,1,2016
62,62,367018,3,1301565,59,731,4,USD,2,1,2016
63,63,367019,1,793573,29,1947,2,EUR,2,1,2016
64,64,367019,2,793573,29,1645,7,EUR,2,1,2016
65,65,367019,3,793573,29,371,7,EUR,2,1,2016
66,66,367020,1,799366,29,448,6,EUR,2,1,2016
67,67,367020,2,799366,29,1975,1,EUR,2,1,2016
68,68,367021,1,243917,10,1445,4,CAD,2,1,2016
69,69,367021,2,243917,10,1624,6,CAD,2,1,2016
70,70,367021,3,243917,10,1615,2,CAD,2,1,2016
71,71,367022,1,942807,42,1596,1,GBP,2,1,2016
72,72,367022,2,942807,42,1253,7,GBP,2,1,2016
73,73,367022,3,942807,42,663,3,GBP,2,1,2016
74,74,367022,4,942807,42,1194,6,GBP,2,1,2016
75,75,367023,1,129318,2,1139,5,AUD,2,1,2016
76,76,367023,2,129318,2,1031,2,AUD,2,1,2016
77,77,367024,1,1713253,50,302,8,USD,2,1,2016
78,78,367024,2,1713253,50,2105,5,USD,2,1,2016
79,79,367025,1,1736623,56,1608,1,USD,2,1,2016
80,80,367025,2,1736623,56,1641,2,USD,2,1,2016
81,81,367025,3,1736623,56,1574,3,USD,2,1,2016
82,82,367026,1,1836599,53,2218,2,USD,2,1,2016
83,83,367026,2,1836599,53,78,1,USD,2,1,2016
84,84,367027,1,1482586,53,2451,3,USD,2,1,2016
85,85,367027,2,1482586,53,1645,1,USD,2,1,2016
86,86,367027,3,1482586,53,1728,2,USD,2,1,2016
87,87,367028,1,607356,0,976,1,EUR,2,1,2016
88,88,367028,2,607356,0,2017,3,EUR,2,1,2016
89,89,367029,1,1260533,66,1607,1,USD,2,1,2016
90,90,367029,2,1260533,66,1223,7,USD,2,1,2016
91,91,367030,1,1843882,51,2010,7,USD,2,1,2016
92,92,367030,2,1843882,51,426,1,USD,2,1,2016
93,93,367031,1,909014,0,120,3,GBP,2,1,2016
94,94,367031,2,909014,0,382,2,GBP,2,1,2016
95,95,367031,3,909014,0,1722,3,GBP,2,1,2016
96,96,367031,4,909014,0,132,1,GBP,2,1,2016
97,97,368000,1,892838,32,1440,1,EUR,3,1,2016
98,98,368001,1,1670789,64,1598,3,USD,3,1,2016
99,99,369000,1,1143828,37,2167,9,GBP,4,1,2016
100,100,369000,2,1143828,37,167,1,GBP,4,1,2016
101,101,369001,1,269337,8,1301,1,CAD,4,1,2016
102,102,369001,2,269337,8,1649,4,CAD,4,1,2016
103,103,369002,1,258316,8,1656,1,CAD,4,1,2016
104,104,369004,1,1389462,65,1961,5,USD,4,1,2016
105,105,369004,2,1389462,65,1991,3,USD,4,1,2016
106,106,369005,1,1866637,56,183,3,USD,4,1,2016
107,107,369006,1,734605,28,654,1,EUR,4,1,2016
108,108,369007,1,571622,20,2510,3,EUR,4,1,2016
109,109,369007,2,571622,20,2103,1,EUR,4,1,2016
110,110,369007,3,571622,20,1578,3,EUR,4,1,2016
111,111,369011,1,1664824,0,1261,2,USD,4,1,2016
112,112,369012,1,1696695,0,1423,3,USD,4,1,2016
113,113,369012,2,1696695,0,1656,1,USD,4,1,2016
114,114,369012,3,1696695,0,1660,2,USD,4,1,2016
115,115,369012,4,1696695,0,1610,6,USD,4,1,2016
116,116,370000,1,2032025,51,1360,4,USD,5,1,2016
117,117,370000,2,2032025,51,1158,4,USD,5,1,2016
118,118,370000,3,2032025,51,457,2,USD,5,1,2016
119,119,370001,1,1884908,61,1107,3,USD,5,1,2016
120,120,370001,2,1884908,61,1591,3,USD,5,1,2016
121,121,370001,3,1884908,61,1544,7,USD,5,1,2016
122,122,370003,1,2092033,66,836,8,USD,5,1,2016
123,123,370003,2,2092033,66,1529,3,USD,5,1,2016
124,124,370004,1,1473090,43,1251,2,USD,5,1,2016
125,125,370005,1,584095,24,1610,2,EUR,5,1,2016
126,126,370005,2,584095,24,1594,4,EUR,5,1,2016
127,127,370006,1,661636,16,1272,6,EUR,5,1,2016
